"Skill_Name","Skill_Desc"
"Product Management","Create and manage a product roadmap, involving the ideating, planning, forecasting, marketing and management of a product or a suite of products throughout stages of its lifecycle, from its conceptualisation to market entrance and eventual phasing-out. This includes the creation of a new product idea or concept and definition of the product strategy based on a projection of its potential benefits to the customer as well as the review of product performance against milestones and targets set "
"Professional and Business Ethics","Foster strong ethical standards and resolve ethical conflicts in accordance with the relevant principles and processes"
"Project Management","Execute projects by managing stakeholder engagement, resources, budgets and resolving problems"
"Regulatory Compliance","Comply with policies, procedures, and external regulations"
"Regulatory Risk Assessment","Analyse the impact of latest global regulatory developments and relevant laws on overall audit and/or engagement strategies"
"Regulatory Strategy","Align regulatory activities with business strategies"
"Sales Closure","Perform numerical calculations and execute selling strategies to complete sales of products and services to the satisfaction of customers"
"Sales Strategy","Develop a sales strategy, plan and targets, considering market potential, industry trends and various internal and external business factors as well as the evaluation and further refinement of the sales strategy"
"Security Administration","Administer, configure and update of security programmes and mechanisms, including the application of system patches to ensure that enterprise assets are adequately protected against threats. This also includes the authorisation, management and monitoring of access control permissions and/or rights to various IT facilities"
"Sense Making","Leverage sources of qualitative and quantitative information and data to recognise patterns, spot opportunities, infer insights and inform decisions"
"Service Level Management","Plan, monitor and manage service provisions for the achievement of agreed service level targets"
"Skills Framework Adoption","Drive the adoption, integration and implementation of Skills Frameworks and their components in business and human resources activities throughout the organisation"
"Software Configuration","Configure software products, analytics and modelling solutions, and apply and/or modify scripts and automation tools to integrate and deploy releases to various platforms and operating environments "
"Software Design","Create and refine the overall plan for the design of software, including the design of functional specifications starting from the defined business requirements as well as the consideration and incorporation of various controls, functionality and interoperability of different elements into a design blueprint or model which describes the overall architecture in hardware, software, databases, and third party frameworks that the software will use or interact with"
"Software Testing","Assess and test the overall effectiveness and performance of an application, involving the setting up of suitable testing conditions, definition of test cases and/or technical criteria "
"Solution Architecture","Design or refine a solution blueprint or structure to guide the development of IT solutions in hardware, software, processes or related components, to meet current and future business needs. The solution architecture developed may lead to broad or specific changes to IT services, operating models and processes, and should provide a framework to guide the development and modification of solutions"
"Solutions Design Thinking","Solutions Design Thinking"
"SOP Development and Implementation","Develop Standard Operating Procedures (SOPs) and implement procedures to ensure that process operational tasks for all modes of plant operation are performed correctly and consistently in accordance with regulatory and organisational objectives"
"Stakeholder Management","Manage stakeholder expectations to ensure continuous levels of engagement by identifying and addressing needs, setting service standards and resolving issues in accordance with organisational procedures"
"Strategy Planning","Develop organisational strategies and policies by analysing the impact of internal and external influencing factors and seeking consultation from relevant stakeholders."
"System Integration","Develop and implement a roadmap and specific integration solutions to facilitate integration of various ICT components and optimise inter-operability of systems and their interfaces. This includes the integration of various architectural components such as networks, servers, system platforms and their interfaces"
"Talent Management","Drive talent management strategies and programmes to identify, develop, review and retain talent to meet the current and future organisational needs"
"Tax Computation","Compute Goods and Services Tax, and tax liabilities"
"Tax Implications","Assess tax implication of changes in tax laws"
"Technology Application","Integrate technologies into operations of the organisation to optimise efficiency and effectiveness of processes"
"Technology Integration","Integrate new and emerging technology products, services and developments to enhance human resource (HR) operations and service delivery"
"Technology Road Mapping","Plan short-term and long-term goals with specific technology solutions to help meet those goals in order to make capital out of future market needs"
"User Interface Design","Design user interfaces for machines and software, incorporating visual, technical and functional elements that facilitate ease of access, understanding and usage. This would involve adding, removing, modifying or enhancing elements to make the user's interaction with the product as seamless as possible"
