Role_name,Role_Desc
HR Director,"TheHR Director is responsible for establishing the overall talent management strategies and frameworks to identify, prepare and position the right talent to drive organisational success. He/She formulates career development frameworks and programmes to provide fulfilling career opportunities to employees in the organisation. He liaises with senior business stakeholders to formulate robust succession plans for business-critical roles in the organisation, ensuring future viability and alignment with business plans and direction. He is responsible for establishing retirement and exit policies and guidelines, and evaluating the business impact of redundancy, retirement and exit decisions. He also guides and advises senior business leaders in the management and communication of sensitive talent decisions. As a department head, he is responsible for setting the direction and articulating goals and objectives for the team, and driving the integration of Skills Frameworks across the organisation's talent management plans.

The HR Director is a forward-thinking and influential leader who is able to integrate knowledge across diverse domains to make robust decisions and address multi-faceted issues effectively. He has the desire to motivate employees and develop talent capabilities both within the team and across the organisation, and demonstrates sensitivity and diplomacy when interacting with stakeholders at various levels."
HR Executive,"HR Team executes planned talent outreach and engagement activities to source for potential candidates and maintains an optimal experience for employees. He/She conducts the initial screening of potential candidates, administers assessments and prepares employment contracts as per guidelines. He tracks the conversion success rate for each sourcing channel and provides administrative and logistical support during onboarding. He administers employee engagement surveys and collates responses and feedback while ensuring confidentiality of information provided.

HR Team Executive enjoys working in a team environment and interacts proactively with various stakeholders. He has a service-oriented mindset and can adapt to various forms of technology within his work space to enhance his work. "
IT Analyst,"IT Analyst performs routine infrastructure operations and maintenance activities. He/She assists with monitoring infrastructure performance. He checks for problems in existing systems and modifies work processes by following defined procedures, processes and quality standards. He is required to be on standby with on-call availability with varied shifts including nights, weekends and holidays. He works in a team setting and is proficient in infrastructure systems and network-related tools and techniques required by the organisation. He is also familiar with the relevant software platforms on which the database is deployed. The Associate Infrastructure Support Engineer is able to solve issues quickly and effectively as they arise. He is able to methodically identify the cause of the issue, evaluate it and develop a solution in collaboration with the team. He is able to communicate effectively and displays high service level standards."
IT Director,"The IT Director drives the vision and strategy for the IT Operations and Support functions. He/She sets the direction for systems and database administration, day-to-day IT support and operations, data centre operations and system and quality assurance through the delivery of services as per business requirements; controls costs and manages vendors. He is responsible for formulating strategies for service level agreements. He ensures compliance with organisation's quality standards, international standards and government regulations. He is a leader with the energy and commitment to drive large teams toward achieving service level excellence. He is familiar with enterprise architecture frameworks, database administration and systems, and application monitoring tools. The Head of Operations and Support has a broad sense of perspective with the ability to influence key internal and external stakeholders. He is strategic in his approach to managing resources and developing capabilities within the team. He is effective in setting direction aligned to the strategic positioning of the business and the IT functions overall. He is able to impress upon the team the need to continuously improve service levels and increase efficiencies."
Junior Engineer,"The Junior Engineerapplies engineering principles and techniques to optimise the equipment and systems within the manufacturing facility. He/She provides technical guidance and direction for the installation of equipment and systems. He develops plans for the maintenance of equipment and systems, and recommends engineering solutions to troubleshoot faults. The Junior Engineerinnovates equipment and systems, and contributes to manufacturing equipment and systems improvement projects by conducting feasibility assessments and tests on new technologies. He is also expected to manage energy resources and utilities by developing solutions to optimise machine availability and energy efficiency. The Junior Engineermust ensure compliance with Standard Operating Procedures (SOPs), Health, Safety and Environment (HSE) regulations and Current Good Manufacturing Practices (CGMPs) within his purview. He develops guidelines and conducts equipment qualification and validation in line with biopharmaceuticals manufacturing regulatory requirements. 

The Junior Engineershould possess an enquiring and analytical mind and have a knack for investigating issues, analysing multifaceted engineering problems and developing solutions. He must also be a strong team player who can guide and mentor others, and communicate technical advices and solutions to colleagues beyond the team."
L&D Executive,"The L&D Executive assists in procuring training programmes and documenting learning needs in the 
organisation, maintaining organisations' learning systems and provides administrative support in conducting learning programmes. He/She manages resources and logistics for delivering learning programmes and collects data from learning evaluation surveys to measure learning programmes effectiveness. He supports the conduct of assessments to identify high-potential talent in the organisation, and documents assessment records and succession plans for critical roles identified. He also responds to employee queries that are related to assessments and learning programmes. He is responsible for maintaining exit and retirement records.

TheL&D Executive enjoys working in a team environment and interacts proactively with various stakeholders. He is eager to explore and analyse problems, and is able to communicate information in a clear and concise manner to meet others' needs at the workplace."
Ops Planning Exec,"The Operation Planning Executive upports plant operations by coordinating day-to-day production activities, as well as maintenance and turnaround schedules and activities, for production shift teams, so as to meet production plans and schedules."
Sales Director,"The Sales Director determines sales targets, markets and product offering. He/She focuses on revenue target setting accountability, sales strategy and career development of others, liaising with professional staff and other managers on the medium- to long-term sales planning. He develops, communicates and implements the operational strategy, regularly leads important sales initiatives and has ultimate accountability for the sales function. He oversees the preparation and presentation of technical proposals and ensures that the complete plans are feasible within cost, time, and environmental constraints. He drives product differentiation and optimises the use of resources, evaluates partnership effectiveness, and advises on corrective action. He solves complex problems and adopts new perspectives to drive sales. He works in a fast-paced and dynamic environment, and travels to clients' premises for sales pitches and negotiations. He is familiar with client relationship management and sales tools, as well as sales operations and business practices. He knowledgeable of the trends, developments and challenges of the industry domain. The Sales Director is creative and self-motivated, and is dedicated to growing the business. He contributes his expertise to product development and brainstorming of marketing campaigns, as needed. He is a competent decision maker who exhibits flexibility amidst a rapidly changing environment. He strives to train talent and build successful teams."
Sales Manager,"The Sales Manager is responsible for managing the organisation's sales growth. By analysing client segmentation and competitor landscape, he/she develops sales strategies. He supports lead generation, and conducts business and contract negotiations to increase client acquisition and boost retention. 

Innovative and resourceful, he demonstrates initiative in identifying new opportunities both locally and regionally and converting them into actual sales. He builds good rapport with new and existing clients by pro-actively anticipating clients' needs and identifying business solutions to meet those needs. He networks extensively outside of the office to stay in close contact with the key industry stakeholders."
Senior Engineer,"The Senior Engineer applies advanced engineering principles and techniques to troubleshoot complex engineering problems encountered within the manufacturing facility and provides expert technical advice to guide the installation and maintenance of equipment and systems. He/She is expected to lead the technical cross-collaboration with the Process Development/Manufacturing Science and Technology (PD/MSAT) department in order to identify appropriate biopharmaceuticals manufacturing equipment and optimise their functionalities. The Senior Engineer leads manufacturing equipment and systems innovation projects by guiding feasibility assessments and tests on new technologies. He is expected to review and approve solutions and initiatives to optimise machine availability while managing energy and utility use. He sets parameters for equipment qualification and validation in line with biopharmaceuticals manufacturing regulatory requirements. The Principal/Engineer must ensure compliance with Standard Operating Procedures (SOPs), Health, Safety and Environment (HSE) regulations and Current Good Manufacturing Practices (CGMPs) within his purview.

The Engineering and Maintenance Principal/Engineer carries the responsibility of the in-house technical expert. He should possess a deep passion for analysing and resolving multifaceted engineering problems and be able to apply advanced critical and analytical thinking skills to deal with immediate situations. He should have a developmental and amiable approach in his interactions working as part of a team while guiding and mentoring others. He must also be able to communicate engineering concepts in a manner that will be understood by others within and beyond the team."
Solutioning Director,"The Solutioning Director defines and articulates the organisation's strategy for securing technical wins with prospective clients. He/She focuses on developing key growth pre-sales strategies, tactics and action plans required to achieve revenue and/or sales targets. He advises the team on developing prototypes to ensure feasibility of solutions, and oversees the delivery of in-depth presentations and product demonstrations to clients. He solves complex problems and evaluates clients needs with different perspectives. He works in a fast-paced and dynamic environment, and travels frequently to clients' premises for technical sales pitches and meetings. He is familiar with client relationship management and sales tools. He possesses deep product and technical knowledge, and is knowledgeable of the trends, developments and challenges of the industry domain. The Pre-Sales Director is target-driven and client centric, and has the ability to foster collaboration between stakeholders. He has a deep understanding of key business industries and knowledge of products and services in the market. He is strongly committed to developing talent and inspires his team members to pursue a common vision."
Support Engineer,"The Support Engineer undertakes complex projects related to system provisioning, installations, configurations as well as monitoring and maintenance of systems. He/She applies highly developed specialist knowledge and skills in systems administration and works toward continuous optimisation of system performance. He implements system improvements and instructs other IT staff in the resolution of most complex issues. He is required to be on standby with on-call availability with varied shifts including nights, weekends and holidays to resolve systems related incidents. He works in a team setting and is proficient in Infrastructure systems and Network related tools and techniques required by the organisation. He is also familiar with the relevant platforms on which the database is deployed on. The Support Team is able to quickly and effectively solve issues as they arise. He is able to methodically identify the cause of the issue, evaluate it and develop a solution in collaboration with the team. He is able to communicate effectively and displays high service level standards."
